Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.032147,0.00053392,0.037471,0,0,0,32,0.36237,0.0015808,0.0057776,0.46134,-0.00064358,0.63024,0,0,0,0,0,0,package://urdfe2bot12/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/body.STL,,E2bot body-1,Robotco,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lw,-0.082466,0,0,0,0,0,1.158,0.0033185,-1.475E-19,-9.561E-20,0.0020245,-2.4925E-08,0.0020246,0,0,0,0,0,0,package://urdfe2bot12/meshes/lw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/lw.STL,,6 inch hub wheel URDF-1,Origin_lwj,Axis_lwj,lwj,continuous,0,0.085,0,2.12103422138921,0,-1.5707963267949,body,1,0,0,,,,,,,,,,,,
rw,-0.082466,6.9389E-18,2.0817E-17,0,0,0,1.158,0.0033185,-6.6387E-20,-8.3068E-20,0.0020246,3.7947E-19,0.0020245,0,0,0,0,0,0,package://urdfe2bot12/meshes/rw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/rw.STL,,6 inch hub wheel URDF-2,Origin_rwj,Axis_rwj,rwj,continuous,0,-0.085,0,-2.50840239580501,0,1.5707963267949,body,1,0,0,,,,,,,,,,,,
flomni,-0.034905,-2.7756E-17,-2.7756E-17,0,0,0,0.30837,0.00037087,-1.4317E-20,-4.2357E-21,0.00022667,4.7434E-20,0.00022667,0,0,0,0,0,0,package://urdfe2bot12/meshes/flomni.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/flomni.STL,,Omniwheel demo-2,Origin_flomnij,Axis_flomnij,flomnij,continuous,0.200902106781187,0.1258,-0.0342499999999989,2.38898873355788,0,-1.5707963267949,body,1,0,0,,,,,,,,,,,,
fromni,-0.0349048899590186,2.77555756156289E-17,0,0,0,0,0.308365678087562,0.000370874589036751,1.19151447417302E-20,-8.25996731854451E-21,0.000226671785702452,-6.7762635780344E-21,0.000226671785702452,0,0,0,0,0,0,package://urdfe2bot12/meshes/fromni.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/fromni.STL,,Omniwheel demo-1,Origin_fromnij,Axis_fromnij,fromnij,continuous,0.2005,-0.125872783041687,-0.0342500000000003,3.09391998897137,0,1.5707963267949,body,1,0,0,,,,,,,,,,,,
rlomni,-0.034905,0,0,0,0,0,0.30837,0.00037087,9.2988E-22,-2.1779E-20,0.00022667,-1.3553E-20,0.00022667,0,0,0,0,0,0,package://urdfe2bot12/meshes/rlomni.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/rlomni.STL,,Omniwheel demo-4,Origin_rlomnij,Axis_rlomnij,rlomnij,continuous,-0.1995,0.125872783041683,-0.0342499999999998,-1.89774850579501,0,-1.5707963267949,body,1,0,0,,,,,,,,,,,,
rromni,-0.034905,-2.7756E-17,-1.3878E-17,0,0,0,0.30837,0.00037087,1.6153E-20,-8.0326E-21,0.00022667,0,0.00022667,0,0,0,0,0,0,package://urdfe2bot12/meshes/rromni.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/rromni.STL,,Omniwheel demo-3,Origin_rromnij,Axis_rromnij,rromnij,continuous,-0.1995,-0.125872783041683,-0.0342499999999998,3.09391998897137,0,1.5707963267949,body,1,0,0,,,,,,,,,,,,
lidar,-0.17752,-0.1574,-0.2195,0,0,0,0.5,0.42354,0.00079276,-0.048158,0.63035,0.0019623,0.40007,0,0,0,0,0,0,package://urdfe2bot12/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/lidar.STL,,RPlidar A3 URDF-2,Origin_lidarj,Axis_lidarj,lidarj,fixed,0.252326011817588,0,0.190896757576048,1.58167284329244,0.00882986714456604,0.888909980106345,body,0,0,0,,,,,,,,,,,,
rs,0.00168231618840266,2.48029107840879E-06,-0.0132722905857043,0,0,0,0.0381911723670038,2.11168822584964E-06,-8.02357351336878E-09,4.51127226749075E-08,2.22571079474839E-05,-1.30126755801211E-08,2.35737411262434E-05,0,0,0,0,0,0,package://urdfe2bot12/meshes/rs.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/rs.STL,,Real sense URDF-1,Origin_rsj,Axis_rsj,rsj,fixed,0.272552106781188,0,0.0695500000000006,1.5707963267949,0,1.57079631189537,body,0,0,0,,,,,,,,,,,,
u1,3.46944695195361E-18,-0.000411315391536465,0.00285634509413218,0,0,0,0.0100741087867429,5.03003937451672E-07,-4.38361031615645E-22,9.1246830566421E-23,3.01671930858575E-06,-6.03456396046956E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u1.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u1.STL,,ultrasonic sensor URDF-2,Origin_u1j,Axis_u1j,u1j,fixed,0.220099360511441,0.1892,0.06375,1.5707963267949,-1.5707963267949,0,body,0,0,0,,,,,,,,,,,,
u2,2.77555756156289E-17,0.000411315391536465,-0.00285634509413218,0,0,0,0.0100741087867429,5.03003937451675E-07,-1.13264503142867E-21,-1.86044675401237E-22,3.01671930858575E-06,-6.0345639604695E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u2.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u2.STL,,ultrasonic sensor URDF-3,Origin_u2j,Axis_u2j,u2j,fixed,0.272299360511441,0.11,-0.00825000000000004,-1.5707963267949,0,1.5707963267949,body,0,0,0,,,,,,,,,,,,
u3,-1.38777878078145E-17,0.000411315391536465,-0.00285634509413218,0,0,0,0.0100741087867429,5.03003937451674E-07,-4.03608316742837E-22,-1.62988589026773E-22,3.01671930858575E-06,-6.03456396046967E-09,3.10627228046545E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u3.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u3.STL,,ultrasonic sensor URDF-4,Origin_u3j,Axis_u3j,u3j,fixed,0.272299360511441,-0.109999999999999,-0.00825000000000005,-1.5707963267949,0,1.5707963267949,body,0,0,0,,,,,,,,,,,,
u4,0,-0.00041131539153641,0.00285634509413221,0,0,0,0.0100741087867429,5.03003937451673E-07,-2.34834132658335E-23,9.49973325197811E-23,3.01671930858575E-06,-6.03456396046963E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u4.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u4.STL,,ultrasonic sensor URDF-5,Origin_u4j,Axis_u4j,u4j,fixed,0.220099360511441,-0.1892,0.0637499999999999,1.5707963267949,-1.5707963267949,0,body,0,0,0,,,,,,,,,,,,
u5,3.46944695195361E-18,-0.000411315391536493,0.00285634509413218,0,0,0,0.0100741087867429,5.03003937451674E-07,3.63102507414452E-22,-4.80942821934978E-23,3.01671930858575E-06,-6.03456396046941E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u5.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u5.STL,,ultrasonic sensor URDF-6,Origin_u5j,Axis_u5j,u5j,fixed,-0.262649496338631,-0.152,0.09775,3.14159265358979,-1.5707963267949,0,body,0,0,0,,,,,,,,,,,,
u6,0,-0.000411315391536493,0.00285634509413224,0,0,0,0.0100741087867429,5.03003937451673E-07,9.45905253787276E-22,-6.64713866090698E-23,3.01671930858575E-06,-6.03456396046955E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/u6.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/u6.STL,,ultrasonic sensor URDF-7,Origin_u6j,Axis_u6j,u6j,fixed,-0.265649496338631,0.152,0.09775,3.14159265358979,1.5707963267949,0,body,0,0,0,,,,,,,,,,,,
cl,-2.77555756156289E-17,-0.000411315391536771,0.00285634509413213,0,0,0,0.0100741087867429,5.03003937451672E-07,7.68611055305445E-20,3.65263248344992E-22,3.01671930858575E-06,-6.03456396048087E-09,3.10627228046544E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/cl.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/cl.STL,,ultrasonic sensor URDF-9,Origin_clj,Axis_clj,clj,fixed,0.311361826051464,0.0415875377454991,-0.0588499999999994,3.14159265358967,0,1.57296611243423,body,0,0,0,,,,,,,,,,,,
cr,-2.4286E-17,-0.00041132,0.0028563,0,0,0,0.010074,5.03E-07,7.8602E-20,2.7178E-22,3.0167E-06,-6.0346E-09,3.1063E-06,0,0,0,0,0,0,package://urdfe2bot12/meshes/cr.STL,0.10196,0.10196,0.10196,1,0,0,0,0,0,0,package://urdfe2bot12/meshes/cr.STL,,ultrasonic sensor URDF-8,Origin_crj,Axis_crj,crj,fixed,0.311537578550346,-0.0394122715818021,-0.0588499999999994,3.14159265358967,0,1.57296611243422,body,0,0,0,,,,,,,,,,,,
